annee;date_decl;ville_stat;N_INSEE;nom_chev;race;age;sexe;Utilisation;hve1;hvesp;WN;cas;decl,
2011;10.02.2011;CHATENET;17095;BLONDIE_DE_NADOU;116;22;1;4;0;0;0;0;1,
2007;10.03.2007;PONT_L_EVEQUE;14514;FAUST;53;15;2;5;1;0;NA;1;1,
2008;10.03.2008;GRAMAT;46128;OPHELYA;10;12;1;3;0;0;NA;0;1,
2010;10.03.2010;SAINT_GEORGES_DU_ROSAY;72281;PETIT_PRINCE;100;6;2;2;0;0;0;0;1,
2011;10.03.2011;VAUVERT;30341;ATKA_des_ISCLES;28;1;1;4;0;NA;NA;0;1,
2007;10.04.2007;GOUSTRANVILLE;14308;TROGEN;86;20;2;6;0;NA;NA;0;1,
2010;10.05.2010;CLERMONT_FERRAND;63113;TYR;97;3;2;2;NA;NA;NA;0;1,
2008;10.06.2008;TAIZE_AIZIE;16378;OROSE_DE_L_AGE;17;6;1;3;0;NA;NA;0;1,
2011;10.06.2011;MOYON (NA);50363;PARADE_DE_France;108;8;1;3;0;1;NA;1;1,
2010;10.07.2010;COURTHEZON;84039;JESSIE_LOVE;97;13;1;4;NA;0;NA;0;1,
2007;10.09.2007;JOUE_DU_BOIS;61209;NOISETTE;15;14;1;4;NA;NA;NA;0;1,
2007;10.10.2007;ARGILLIERS;30013;QUEIRROS;16;2;2;NA;NA;NA;NA;0;1,
2007;10.10.2007;SAINT_GREGOIRE;35278;PRUNE;26;4;1;4;NA;NA;NA;0;1,
2007;10.10.2007;SAINT_SIFFRET;30299;PHOENIX;97;4;2;1;NA;NA;NA;0;1,
2012;10.10.2012;GAMBAIS;78263;DADDY;116;2;3;5;NA;NA;NA;0;1,
2012;10.10.2012;GAMBAIS;78263;ISAAK;NA;2;4;5;NA;NA;NA;0;1,
2012;10.10.2012;GAMBAIS;78263;TOMMY;116;2;4;5;NA;NA;NA;0;1,
2012;10.10.2012;GAMBAIS;78263;VITALINE;116;1;7;5;NA;NA;NA;0;1,
2012;10.10.2012;LAMORLAYE;60346;PETIT_PIED;10;2;9;2;NA;NA;0;0;1,
2007;10.11.2007;FOISSAC;12104;SOPHIA;65;23;1;4;0;0;NA;0;1,
2007;10.12.2007;AUPS;83007;INES;5;11;1;3;NA;NA;NA;0;1,
2008;10.12.2008;ARNAC_POMPADOUR;19011;CASTELBUONO;90;2;3;2;0;0;0;0;1,
2008;10.12.2008;LUPPY;57425;MELYSA;116;30;1;4;0;0;0;0;1,
2007;11.01.2007;VERSAILLES;78646;POULAIN_PAR_DJEL_BON_ET_KHADIJA;91;2;3;3;NA;NA;NA;0;1,
2008;11.01.2008;MOMERSTROFF;57471;ETNA;97;16;1;4;0;NA;NA;0;1,
2008;11.03.2008;LESSARD_ET_LE_CHENE;14362;RIVIERE_D_AZUR;108;2;1;3;1;0;NA;1;1,
2008;11.04.2008;LATTES;34129;REVISTERO_DE_FANGOUS;28;3;3;3;0;NA;NA;0;1,
2008;11.04.2008;MAGNE;79162;L_INDIENNE_D_IRLEAU;97;9;1;3;1;NA;NA;1;1,
2012;11.05.2012;SOUVANS;39520;INDE_COSMIQUE;97;1;12;1;0;0;NA;0;1,
2010;11.09.2010;LOCUNOLE;29136;JANILENE;97;13;1;2;0;0;0;0;1,
2010;11.10.2010;SAINT_AUBIN_SUR_GAILLON;27517;IMPY;97;0.5;NA;1;0;1;NA;1;1,
2011;11.10.2011;SAINT_AMANCET;81237;POLKA_DE_CAUNELLE;37;8;1;3;0;0;0;0;1,
2012;11.10.2012;VEZELISE;54563;INUSUAL;89;3;8;2;0;0;0;0;1,
2007;11.11.2007;COUDRAY_RABUT;14185;IRREEL;90;12;1;3;NA;NA;NA;0;1,
2007;11.11.2007;MARANGE_ZONDRANGE;57444;HIPPLE;82;34;2;6;0;NA;NA;0;1,
2011;11.11.2011;THONVILLE;57673;ODIN_;NA;32;2;4;0;0;0;0;1,
2009;12.03.2009;ALENCON;61001;GINI;18;14;1;1;NA;NA;NA;0;1,
2009;12.03.2009;ANNET_SUR_MARNE;77005;ROMEO;101;NA;3;4;0;0;0;0;1,
2009;12.04.2009;MAISONS_LAFFITTE;78358;KERANTZAUPIE_DU_DORAT;97;11;1;1;0;0;0;0;1,
2011;12.04.2011;LA_SEYNE_SUR_MER;83126;BIMBO;75;15;2;1;0;0;0;0;1,
2011;12.04.2011;LE_MESNIL_THOMAS;28248;ARCY_CUTTER_KING;92;13;1;3;1;0;NA;1;1,
2011;12.05.2011;LE_PIN;77363;STETSON;116;14;1;1;1;0;NA;1;1,
2008;12.06.2008;SERMAISE;91593;HUGO;97;13;2;1;0;NA;NA;0;1,
2011;12.09.2011;NOVES;13066;PIE;75;4;2;5;0;1;0;1;1,
