"";"grid_no";"Code2";"year";"month";"Hrel50_ee";"Hrel5_ee";"Hrel95_ee";"Vrel50_ee";"Vrel5_ee";"Vrel95_ee";"tot_grid"
"238";100091;"FR30";2011;6;0;0;0;0;0;0;21
"239";100091;"FR30";2011;3;0;0;0;0;0;0;21
"240";100091;"FR30";2012;8;2,66e-05;2,13e-05;3,27e-05;0;0;0;21
"241";100091;"FR30";2011;8;0,000611781;0,000490418;0,000752033;0;0;0;21
"242";100091;"FR30";2010;8;0,000133028;0,000106633;0,000163534;0;0;0;21
"243";100091;"FR30";2011;5;0;0;0;0;0;0;21
"244";100091;"FR30";2011;2;0;0;0;0;0;0;21
"245";100091;"FR30";2010;2;0;0;0;0;0;0;21
"246";100091;"FR30";2012;1;0;0;0;0;0;0;21
"247";100091;"FR30";2010;6;0;0;0;0;0;0;21
"248";100091;"FR30";2012;5;0;0;0;0;0;0;21
"249";100091;"FR30";2011;9;0,000758021;0,000607656;0,000931784;0;0;0;21
"250";100091;"FR30";2010;3;0;0;0;0;0;0;21
"251";100091;"FR30";2012;6;0;0;0;0;0;0;21
"252";100091;"FR30";2012;9;0,000445919;0,000360189;0,000544534;4,64e-07;2,24e-08;1,94e-06;21
"253";101085;"FR30";2011;2;0;0;0;0;0;0;21
"254";101085;"FR30";2011;1;0;0;0;0;0;0;21
"255";101085;"FR30";2010;6;0;0;0;0;0;0;21
"256";101085;"FR30";2010;12;1,33e-05;1,07e-05;1,63e-05;0;0;0;21
"257";101085;"FR30";2011;9;0,000758021;0,000607656;0,000931784;0;0;0;21
"258";101085;"FR30";2012;7;0,00071814;0,000575683;0,000882764;0;0;0;21
"259";101085;"FR30";2011;12;0,000180377;0,000147137;0,000216525;1,4e-06;6,68e-08;5,88e-06;21
"260";101085;"FR30";2011;3;0;0;0;0;0;0;21
"261";101085;"FR30";2011;8;0,000611781;0,000490418;0,000752033;0;0;0;21
"262";101085;"FR30";2012;11;0,000399024;0,000319865;0,000490519;0;0;0;21
"263";101085;"FR30";2011;7;0,000359134;0,000287883;0,000441479;3,76e-06;1,82e-07;1,54e-05;21
"264";101085;"FR30";2011;11;0,000438924;0,000351846;0,00053956;0;0;0;21
"265";101085;"FR30";2012;10;0,001063727;0,000852745;0,001307521;0;0;0;21
"266";101085;"FR30";2012;12;2,66e-05;2,13e-05;3,27e-05;0;0;0;21
"267";101085;"FR30";2010;8;0,000133028;0,000106633;0,000163534;0;0;0;21
"268";101085;"FR30";2012;3;0;0;0;0;0;0;21
"269";101085;"FR30";2011;10;0,00051299;0,000415684;0,000624103;9,42e-07;4,45e-08;3,96e-06;21
"270";101085;"FR30";2010;10;0,000580547;0,000475207;0,000697418;2,36e-06;1,11e-07;9,91e-06;21
"271";101085;"FR30";2010;3;0;0;0;0;0;0;21
"272";101085;"FR30";2010;7;0,000478817;0,000383825;0,000588596;1,65e-06;7,97e-08;6,72e-06;21
"273";101085;"FR30";2011;4;0;0;0;0;0;0;21
"274";101085;"FR30";2012;5;0;0;0;0;0;0;21
"275";101085;"FR30";2012;8;2,66e-05;2,13e-05;3,27e-05;0;0;0;21
"276";101085;"FR30";2012;4;0;0;0;0;0;0;21
"277";101085;"FR30";2012;6;0;0;0;0;0;0;21
"278";101085;"FR30";2010;5;0;0;0;0;0;0;21
"279";101085;"FR30";2012;9;0,000445919;0,000360189;0,000544534;4,64e-07;2,24e-08;1,94e-06;21
"280";101085;"FR30";2010;9;0,00035289;0,000285698;0,000430224;4,64e-07;2,24e-08;1,94e-06;21
"281";101085;"FR30";2011;5;0;0;0;0;0;0;21
"282";101085;"FR30";2010;4;0;0;0;0;0;0;21
"283";101085;"FR30";2010;11;0,000140056;0,00011441;0,000168607;2,11e-06;9,5e-08;8,75e-06;21
"284";101085;"FR30";2012;1;0;0;0;0;0;0;21
"285";101085;"FR30";2012;2;0;0;0;0;0;0;21
"286";101085;"FR30";2011;6;0;0;0;0;0;0;21
"287";101085;"FR30";2010;1;0;0;0;0;0;0;21
"288";101085;"FR30";2010;2;0;0;0;0;0;0;21
"289";101086;"FR30";2012;2;0;0;0;0;0;0;21
"290";101086;"FR30";2011;12;0,000180377;0,000147137;0,000216525;1,4e-06;6,68e-08;5,88e-06;21
"291";101086;"FR30";2010;5;0;0;0;0;0;0;21
"292";101086;"FR30";2012;3;0;0;0;0;0;0;21
"293";101086;"FR30";2010;2;0;0;0;0;0;0;21
"294";101086;"FR30";2012;11;0,000399024;0,000319865;0,000490519;0;0;0;21
"295";101086;"FR30";2011;3;0;0;0;0;0;0;21
"296";101086;"FR30";2010;3;0;0;0;0;0;0;21
"297";101086;"FR30";2010;6;0;0;0;0;0;0;21
"298";101086;"FR30";2010;8;0,000133028;0,000106633;0,000163534;0;0;0;21
"299";101086;"FR30";2011;2;0;0;0;0;0;0;21
"300";101086;"FR30";2010;1;0;0;0;0;0;0;21
"301";101086;"FR30";2012;1;0;0;0;0;0;0;21
"302";101086;"FR30";2012;7;0,00071814;0,000575683;0,000882764;0;0;0;21
"303";101086;"FR30";2011;6;0;0;0;0;0;0;21
"304";101086;"FR30";2011;1;0;0;0;0;0;0;21
"305";101086;"FR30";2011;10;0,00051299;0,000415684;0,000624103;9,42e-07;4,45e-08;3,96e-06;21
"306";101086;"FR30";2010;9;0,00035289;0,000285698;0,000430224;4,64e-07;2,24e-08;1,94e-06;21
"307";101086;"FR30";2012;10;0,001063727;0,000852745;0,001307521;0;0;0;21
"308";101086;"FR30";2010;7;0,000478817;0,000383825;0,000588596;1,65e-06;7,97e-08;6,72e-06;21
"309";101086;"FR30";2010;4;0;0;0;0;0;0;21
"310";101086;"FR30";2012;4;0;0;0;0;0;0;21
"311";101086;"FR30";2010;10;0,000580547;0,000475207;0,000697418;2,36e-06;1,11e-07;9,91e-06;21
"312";101086;"FR30";2012;6;0;0;0;0;0;0;21
"313";101086;"FR30";2011;11;0,000438924;0,000351846;0,00053956;0;0;0;21
"314";101086;"FR30";2012;12;2,66e-05;2,13e-05;3,27e-05;0;0;0;21
"315";101086;"FR30";2011;8;0,000611781;0,000490418;0,000752033;0;0;0;21
"316";101086;"FR30";2011;4;0;0;0;0;0;0;21
"317";101086;"FR30";2012;5;0;0;0;0;0;0;21
"318";101086;"FR30";2012;9;0,000445919;0,000360189;0,000544534;4,64e-07;2,24e-08;1,94e-06;21
"319";101086;"FR30";2012;8;2,66e-05;2,13e-05;3,27e-05;0;0;0;21
"320";101086;"FR30";2010;11;0,000140056;0,00011441;0,000168607;2,11e-06;9,5e-08;8,75e-06;21
"321";101086;"FR30";2011;7;0,000359134;0,000287883;0,000441479;3,76e-06;1,82e-07;1,54e-05;21
"322";101086;"FR30";2011;5;0;0;0;0;0;0;21
"323";101086;"FR30";2011;9;0,000758021;0,000607656;0,000931784;0;0;0;21
"324";101086;"FR30";2010;12;1,33e-05;1,07e-05;1,63e-05;0;0;0;21
"325";101087;"FR30";2012;12;2,66e-05;2,13e-05;3,27e-05;0;0;0;21
"326";101087;"FR30";2010;6;0;0;0;0;0;0;21
"327";101087;"FR30";2011;2;0;0;0;0;0;0;21
"328";101087;"FR30";2011;7;0,000359134;0,000287883;0,000441479;3,76e-06;1,82e-07;1,54e-05;21
"329";101087;"FR30";2012;6;0;0;0;0;0;0;21
"330";101087;"FR30";2010;10;0,000580547;0,000475207;0,000697418;2,36e-06;1,11e-07;9,91e-06;21
"331";101087;"FR30";2011;9;0,000758021;0,000607656;0,000931784;0;0;0;21
"332";101087;"FR30";2010;5;0;0;0;0;0;0;21
"333";101087;"FR30";2010;12;1,33e-05;1,07e-05;1,63e-05;0;0;0;21
"334";101087;"FR30";2011;1;0;0;0;0;0;0;21
